Ticket   || Tipo            || Data       || Pai      || Incidente       || Descrição                                          ||
ENS-8385 || História        || 2025-10-29 || ENS-8332 ||                 || [ALTERAÇÃO] - [0] - Atividade 17                   ||
ENS-8383 || História        || 2025-10-29 || ENS-8331 ||                 || [ALTERAÇÃO] - [0] - Atividade 16                   ||
ENS-8381 || História        || 2025-10-29 || ENS-8330 ||                 || [ALTERAÇÃO] - [0] - Atividade 15                   ||
ENS-8379 || História        || 2025-10-29 || ENS-8329 ||                 || [ALTERAÇÃO] - [0] - Atividade 14                   ||
ENS-8377 || História        || 2025-10-29 || ENS-8328 ||                 || [ALTERAÇÃO] - [0] - Atividade 13                   ||
ENS-8375 || História        || 2025-10-29 || ENS-8327 ||                 || [ALTERAÇÃO] - [0] - Atividade 12                   ||
ENS-8373 || História        || 2025-10-29 || ENS-8326 ||                 || [ALTERAÇÃO] - [0] - Atividade 11                   ||
ENS-8371 || História        || 2025-10-29 || ENS-8325 ||                 || [ALTERAÇÃO] - [0] - Atividade 10                   ||
ENS-8369 || História        || 2025-10-29 || ENS-8324 ||                 || [ALTERAÇÃO] - [0] - Atividade 9                    ||
ENS-8367 || História        || 2025-10-29 || ENS-8323 ||                 || [ALTERAÇÃO] - [0] - Atividade 8                    ||
ENS-8365 || História        || 2025-10-29 || ENS-8322 ||                 || [ALTERAÇÃO] - [0] - Atividade 7                    ||
ENS-8363 || História        || 2025-10-29 || ENS-8321 ||                 || [ALTERAÇÃO] - [0] - Atividade 6                    ||
ENS-8361 || História        || 2025-10-29 || ENS-8320 ||                 || [ALTERAÇÃO] - [0] - Atividade 5                    ||
ENS-8359 || História        || 2025-10-29 || ENS-8319 ||                 || [ALTERAÇÃO] - [0] - Atividade 4                    ||
ENS-8357 || História        || 2025-10-29 || ENS-8318 ||                 || [ALTERAÇÃO] - [0] - Atividade 3                    ||
ENS-8355 || História        || 2025-10-29 || ENS-8317 ||                 || [ALTERAÇÃO] - [0] - Atividade 2                    ||
ENS-8353 || História        || 2025-10-29 || ENS-8316 ||                 || [ALTERAÇÃO] - [0] - Atividade 1                    ||
ENS-8352 || Epic            || 2025-10-29 || ENS-8352 || 0               || [0] - Incidente-2025-10-29_EPIC 37                 ||
ENS-8351 || Epic            || 2025-10-29 || ENS-8351 || 0               || [0] - Incidente-2025-10-29_EPIC 36                 ||
ENS-8350 || Epic            || 2025-10-29 || ENS-8350 || 0               || [0] - Incidente-2025-10-29_EPIC 35                 ||
ENS-8349 || Epic            || 2025-10-29 || ENS-8349 || 0               || [0] - Incidente-2025-10-29_EPIC 34                 ||
ENS-8348 || Epic            || 2025-10-29 || ENS-8348 || 0               || [0] - Incidente-2025-10-29_EPIC 33                 ||
ENS-8347 || Epic            || 2025-10-29 || ENS-8347 || 0               || [0] - Incidente-2025-10-29_EPIC 32                 ||
ENS-8346 || Epic            || 2025-10-29 || ENS-8346 || 0               || [0] - Incidente-2025-10-29_EPIC 31                 ||
ENS-8345 || Epic            || 2025-10-29 || ENS-8345 || 0               || [0] - Incidente-2025-10-29_EPIC 30                 ||
ENS-8344 || Epic            || 2025-10-29 || ENS-8344 || 0               || [0] - Incidente-2025-10-29_EPIC 29                 ||
ENS-8343 || Epic            || 2025-10-29 || ENS-8343 || 0               || [0] - Incidente-2025-10-29_EPIC 28                 ||
ENS-8342 || Epic            || 2025-10-29 || ENS-8342 || 0               || [0] - Incidente-2025-10-29_EPIC 27                 ||
ENS-8341 || Epic            || 2025-10-29 || ENS-8341 || 0               || [0] - Incidente-2025-10-29_EPIC 26                 ||
ENS-8340 || Epic            || 2025-10-29 || ENS-8340 || 0               || [0] - Incidente-2025-10-29_EPIC 25                 ||
ENS-8339 || Epic            || 2025-10-29 || ENS-8339 || 0               || [0] - Incidente-2025-10-29_EPIC 24                 ||
ENS-8338 || Epic            || 2025-10-29 || ENS-8338 || 0               || [0] - Incidente-2025-10-29_EPIC 23                 ||
ENS-8337 || Epic            || 2025-10-29 || ENS-8337 || 0               || [0] - Incidente-2025-10-29_EPIC 22                 ||
ENS-8336 || Epic            || 2025-10-29 || ENS-8336 || 0               || [0] - Incidente-2025-10-29_EPIC 21                 ||
ENS-8335 || Epic            || 2025-10-29 || ENS-8335 || 0               || [0] - Incidente-2025-10-29_EPIC 20                 ||
ENS-8334 || Epic            || 2025-10-29 || ENS-8334 || 0               || [0] - Incidente-2025-10-29_EPIC 19                 ||
ENS-8333 || Epic            || 2025-10-29 || ENS-8333 || 0               || [0] - Incidente-2025-10-29_EPIC 18                 ||
ENS-8332 || Epic            || 2025-10-29 || ENS-8332 || 0               || [0] - Incidente-2025-10-29_EPIC 17                 ||
ENS-8331 || Epic            || 2025-10-29 || ENS-8331 || 0               || [0] - Incidente-2025-10-29_EPIC 16                 ||
ENS-8330 || Epic            || 2025-10-29 || ENS-8330 || 0               || [0] - Incidente-2025-10-29_EPIC 15                 ||
ENS-8329 || Epic            || 2025-10-29 || ENS-8329 || 0               || [0] - Incidente-2025-10-29_EPIC 14                 ||
ENS-8328 || Epic            || 2025-10-29 || ENS-8328 || 0               || [0] - Incidente-2025-10-29_EPIC 13                 ||
ENS-8327 || Epic            || 2025-10-29 || ENS-8327 || 0               || [0] - Incidente-2025-10-29_EPIC 12                 ||
ENS-8326 || Epic            || 2025-10-29 || ENS-8326 || 0               || [0] - Incidente-2025-10-29_EPIC 11                 ||
ENS-8325 || Epic            || 2025-10-29 || ENS-8325 || 0               || [0] - Incidente-2025-10-29_EPIC 10                 ||
ENS-8324 || Epic            || 2025-10-29 || ENS-8324 || 0               || [0] - Incidente-2025-10-29_EPIC 9                  ||
ENS-8323 || Epic            || 2025-10-29 || ENS-8323 || 0               || [0] - Incidente-2025-10-29_EPIC 8                  ||
ENS-8322 || Epic            || 2025-10-29 || ENS-8322 || 0               || [0] - Incidente-2025-10-29_EPIC 7                  ||
ENS-8321 || Epic            || 2025-10-29 || ENS-8321 || 0               || [0] - Incidente-2025-10-29_EPIC 6                  ||
ENS-8320 || Epic            || 2025-10-29 || ENS-8320 || 0               || [0] - Incidente-2025-10-29_EPIC 5                  ||
ENS-8319 || Epic            || 2025-10-29 || ENS-8319 || 0               || [0] - Incidente-2025-10-29_EPIC 4                  ||
ENS-8318 || Epic            || 2025-10-29 || ENS-8318 || 0               || [0] - Incidente-2025-10-29_EPIC 3                  ||
ENS-8317 || Epic            || 2025-10-29 || ENS-8317 || 0               || [0] - Incidente-2025-10-29_EPIC 2                  ||
ENS-8316 || Epic            || 2025-10-29 || ENS-8316 || 0               || [0] - Incidente-2025-10-29_EPIC 1                  ||
ENS-8314 || História        || 2025-10-29 || ENS-8313 ||                 || [ALTERAÇÃO] - [SCTASK0542453] - Criar e integrar o ||
ENS-8313 || Epic            || 2025-10-29 || ENS-8313 || SCTASK0542453   || [REQ0371716] - Inclusão do campo novo              ||
ENS-8311 || História        || 2025-10-29 || ENS-7614 ||                 || [NOVO DESENVOLVIMENTO] - [SCTASK0494199] - Treinam ||
ENS-8309 || História        || 2025-10-29 || ENS-7615 ||                 || [NOVO DESENVOLVIMENTO] - [SCTASK0435445] - SOC     ||
ENS-8307 || História        || 2025-10-29 || ENS-8306 ||                 || [ALTERAÇÃO] - [SCTASK0536420] - O sistema IRIS dev ||
ENS-8306 || Epic            || 2025-10-29 || ENS-8306 || SCTASK0536420   || [REQ0363031] - Requisito uma melhoria para a valid ||
ENS-8304 || História        || 2025-10-29 || ENS-8303 ||                 || [DÚVIDA] - [0] - Levantamento alterações comm matr ||
ENS-8303 || Epic            || 2025-10-29 || ENS-8303 || 0               || [0] - Levantamento alterações comm matrix IRIS par ||
ENS-8301 || História        || 2025-10-29 || ENS-7736 ||                 || [NOVO DESENVOLVIMENTO] - [SCTASK0489546] - Criar u ||
ENS-8299 || História        || 2025-10-29 || ENS-8162 ||                 || [NOVO DESENVOLVIMENTO] - [0] - IAM reativação do e ||
ENS-8297 || História        || 2025-10-29 || ENS-8159 ||                 || [ALTERAÇÃO] - [0] - Atividades Administrativas     ||
ENS-8292 || História        || 2025-10-15 || ENS-7766 ||                 || [ALTERAÇÃO] - [SCTASK0501210] - Conforme orientaçã ||
ENS-8290 || História        || 2025-10-15 || ENS-8289 ||                 || [ALTERAÇÃO] - [0] - IRIS 2025                      ||
ENS-8289 || Epic            || 2025-10-15 || ENS-8289 || 0               || [0] - Incidente-2025-10-15_EPIC 41                 ||
ENS-8287 || História        || 2025-10-15 || ENS-8286 ||                 || [ALTERAÇÃO] - [0] - VS CODE                        ||
ENS-8286 || Epic            || 2025-10-15 || ENS-8286 || 0               || [0] - Incidente-2025-10-15_EPIC 40                 ||
ENS-8284 || História        || 2025-10-15 || ENS-8283 ||                 || [ALTERAÇÃO] - [0] - MAX                            ||
ENS-8283 || Epic            || 2025-10-15 || ENS-8283 || 0               || [0] - Incidente-2025-10-15_EPIC 39                 ||
ENS-8281 || História        || 2025-10-15 || ENS-8280 ||                 || [ALTERAÇÃO] - [0] - Reunião IRIS Planilhas         ||
ENS-8280 || Epic            || 2025-10-15 || ENS-8280 || 0               || [0] - Incidente-2025-10-15_EPIC 38                 ||
ENS-8278 || História        || 2025-10-15 || ENS-8277 ||                 || [ALTERAÇÃO] - [0] - Reunião IRIS  Planilhas        ||
ENS-8277 || Epic            || 2025-10-15 || ENS-8277 || 0               || [0] - Incidente-2025-10-15_EPIC 37                 ||
ENS-8275 || História        || 2025-10-15 || ENS-8274 ||                 || [ALTERAÇÃO] - [0] - CEP                            ||
ENS-8274 || Epic            || 2025-10-15 || ENS-8274 || 0               || [0] - Incidente-2025-10-15_EPIC 36                 ||
ENS-8272 || História        || 2025-10-15 || ENS-8271 ||                 || [ALTERAÇÃO] - [0] - LHP - Projetos - Avaliação ger ||
ENS-8271 || Epic            || 2025-10-15 || ENS-8271 || 0               || [0] - Incidente-2025-10-15_EPIC 35                 ||
ENS-8269 || História        || 2025-10-15 || ENS-8268 ||                 || [ALTERAÇÃO] - [0] - CAB                            ||
ENS-8268 || Epic            || 2025-10-15 || ENS-8268 || 0               || [0] - Incidente-2025-10-15_EPIC 34                 ||
ENS-8266 || História        || 2025-10-15 || ENS-8265 ||                 || [ALTERAÇÃO] - [0] - Monthly Service Meeting - IRIS ||
ENS-8265 || Epic            || 2025-10-15 || ENS-8265 || 0               || [0] - Incidente-2025-10-15_EPIC 33                 ||
ENS-8263 || História        || 2025-10-15 || ENS-8262 ||                 || [ALTERAÇÃO] - [0] - Reunião Status IRIS            ||
ENS-8262 || Epic            || 2025-10-15 || ENS-8262 || 0               || [0] - Incidente-2025-10-15_EPIC 32                 ||
ENS-8260 || História        || 2025-10-15 || ENS-8259 ||                 || [ALTERAÇÃO] - [0] - Reunião de Status              ||
ENS-8259 || Epic            || 2025-10-15 || ENS-8259 || 0               || [0] - Incidente-2025-10-15_EPIC 31                 ||
ENS-8257 || História        || 2025-10-15 || ENS-7815 ||                 || [ALTERAÇÃO] - [SCTASK0504397] - Apoio a UAT (Ferna ||
ENS-8255 || História        || 2025-10-15 || ENS-8254 ||                 || [ALTERAÇÃO] - [0] - Verificação - Thyssen.commom / ||
ENS-8254 || Epic            || 2025-10-15 || ENS-8254 || 0               || [0] - Incidente-2025-10-15_EPIC 29                 ||
ENS-8252 || História        || 2025-10-15 || ENS-8251 ||                 || [ALTERAÇÃO] - [0] - Verificação - Thyssen.commom / ||
ENS-8251 || Epic            || 2025-10-15 || ENS-8251 || 0               || [0] - Incidente-2025-10-15_EPIC 28                 ||
ENS-8249 || História        || 2025-10-15 || ENS-8248 ||                 || [ALTERAÇÃO] - [0] - Manutenção DBA IRIS QA         ||
ENS-8248 || Epic            || 2025-10-15 || ENS-8248 || 0               || [0] - Incidente-2025-10-15_EPIC 27                 ||
ENS-8246 || História        || 2025-10-15 || ENS-8245 ||                 || [ALTERAÇÃO] - [0] - Alinhamento Interno IRIS       ||
ENS-8245 || Epic            || 2025-10-15 || ENS-8245 || 0               || [0] - Incidente-2025-10-15_EPIC 26                 ||
ENS-8243 || História        || 2025-10-15 || ENS-8242 ||                 || [ALTERAÇÃO] - [0] - Alinhamento Interno IRIS       ||
ENS-8242 || Epic            || 2025-10-15 || ENS-8242 || 0               || [0] - Incidente-2025-10-15_EPIC 25                 ||
ENS-8240 || História        || 2025-10-15 || ENS-8239 ||                 || [ALTERAÇÃO] - [0] - Alinhamento Interno IRIS       ||
ENS-8239 || Epic            || 2025-10-15 || ENS-8239 || 0               || [0] - Incidente-2025-10-15_EPIC 24                 ||
ENS-8237 || História        || 2025-10-15 || ENS-8236 ||                 || [ALTERAÇÃO] - [0] - Alinhamento Interno IRIS       ||
ENS-8236 || Epic            || 2025-10-15 || ENS-8236 || 0               || [0] - Incidente-2025-10-15_EPIC 23                 ||
ENS-8234 || História        || 2025-10-15 || ENS-8233 ||                 || [ALTERAÇÃO] - [0] - EOX - PRICING                  ||
ENS-8233 || Epic            || 2025-10-15 || ENS-8233 || 0               || [0] - Incidente-2025-10-15_EPIC 22                 ||
ENS-8231 || História        || 2025-10-15 || ENS-8230 ||                 || [ALTERAÇÃO] - [0] - IRIS NO VISUAL STUDIO CODE     ||
ENS-8230 || Epic            || 2025-10-15 || ENS-8230 || 0               || [0] - Incidente-2025-10-15_EPIC 21                 ||
ENS-8228 || História        || 2025-10-15 || ENS-8227 ||                 || [ALTERAÇÃO] - [0] - Atividades Internas IRIS       ||
ENS-8227 || Epic            || 2025-10-15 || ENS-8227 || 0               || [0] - Incidente-2025-10-15_EPIC 20                 ||
ENS-8225 || História        || 2025-10-15 || ENS-8224 ||                 || [ALTERAÇÃO] - [0] - INSTALAÇÃO E CONFIGURAÇÃO IRIS ||
ENS-8224 || Epic            || 2025-10-15 || ENS-8224 || 0               || [0] - Incidente-2025-10-15_EPIC 19                 ||
ENS-8222 || História        || 2025-10-15 || ENS-8221 ||                 || [ALTERAÇÃO] - [0] - Atividades Internas IRIS       ||
ENS-8221 || Epic            || 2025-10-15 || ENS-8221 || 0               || [0] - Incidente-2025-10-15_EPIC 18                 ||
ENS-8219 || História        || 2025-10-15 || ENS-8218 ||                 || [ALTERAÇÃO] - [0] - Atividades Internas IRIS       ||
ENS-8218 || Epic            || 2025-10-15 || ENS-8218 || 0               || [0] - Incidente-2025-10-15_EPIC 17                 ||
ENS-8216 || História        || 2025-10-15 || ENS-8215 ||                 || [ALTERAÇÃO] - [0] - Atividades Internas IRIS       ||
ENS-8215 || Epic            || 2025-10-15 || ENS-8215 || 0               || [0] - Incidente-2025-10-15_EPIC 16                 ||
ENS-8213 || História        || 2025-10-15 || ENS-8212 ||                 || [ALTERAÇÃO] - [0] - Atividades Internas IRIS       ||
ENS-8212 || Epic            || 2025-10-15 || ENS-8212 || 0               || [0] - Incidente-2025-10-15_EPIC 15                 ||
ENS-8210 || História        || 2025-10-15 || ENS-8209 ||                 || [ALTERAÇÃO] - [0] - Atividades Internas IRIS       ||
ENS-8209 || Epic            || 2025-10-15 || ENS-8209 || 0               || [0] - Incidente-2025-10-15_EPIC 14                 ||
ENS-8207 || História        || 2025-10-15 || ENS-7942 ||                 || [ALTERAÇÃO] - [SCTASK0517284] - Apoio a UAT (Silvi ||
ENS-8205 || História        || 2025-10-15 || ENS-8204 ||                 || [ALTERAÇÃO] - [RITM0523894] - Arquivos RH          ||
ENS-8204 || Epic            || 2025-10-15 || ENS-8204 || 0               || [0] - Incidente-2025-10-15_EPIC 12                 ||
ENS-8202 || História        || 2025-10-15 || ENS-8201 ||                 || [ALTERAÇÃO] - [RITM0519333] - Arquivos RH          ||
ENS-8201 || Epic            || 2025-10-15 || ENS-8201 || 0               || [0] - Incidente-2025-10-15_EPIC 11                 ||
ENS-8199 || História        || 2025-10-15 || ENS-8198 ||                 || [ALTERAÇÃO] - TKE | Atualização IRIS QA            ||
ENS-8198 || Epic            || 2025-10-15 || ENS-8198 || 0               || [0] - Incidente-2025-10-15_EPIC 10                 ||
ENS-8196 || História        || 2025-10-15 || ENS-7615 ||                 || [NOVO DESENVOLVIMENTO] - [SCTASK0435445] - SOC     ||
ENS-8194 || História        || 2025-10-15 || ENS-8193 ||                 || [ALTERAÇÃO] - [0] - Demandas Internas III          ||
ENS-8193 || Epic            || 2025-10-15 || ENS-8193 || 0               || [0] - Incidente-2025-10-15_EPIC 8                  ||
ENS-8191 || História        || 2025-10-15 || ENS-8190 ||                 || [ALTERAÇÃO] - [0] - Demandas Internas II           ||
ENS-8190 || Epic            || 2025-10-15 || ENS-8190 || 0               || [0] - Incidente-2025-10-15_EPIC 7                  ||
ENS-8188 || História        || 2025-10-15 || ENS-8187 ||                 || [ALTERAÇÃO] - [0] - Demandas Internas              ||
ENS-8187 || Epic            || 2025-10-15 || ENS-8187 || 0               || [0] - Incidente-2025-10-15_EPIC 6                  ||
ENS-8185 || História        || 2025-10-15 || ENS-8184 ||                 || [ALTERAÇÃO] - [0] - Atividade 5                    ||
ENS-8184 || Epic            || 2025-10-15 || ENS-8184 || 0               || [0] - Incidente-2025-10-15_EPIC 5                  ||
ENS-8182 || História        || 2025-10-15 || ENS-8181 ||                 || [ALTERAÇÃO] - [0] - Demandas de Gestão             ||
ENS-8181 || Epic            || 2025-10-15 || ENS-8181 || 0               || [0] - Incidente-2025-10-15_EPIC 4                  ||
ENS-8179 || História        || 2025-10-15 || ENS-8178 ||                 || [ALTERAÇÃO] - [0] - Manutenção DBs SRVIRIS02QA     ||
ENS-8178 || Epic            || 2025-10-15 || ENS-8178 || 0               || [0] - Incidente-2025-10-15_EPIC 3                  ||
ENS-8176 || História        || 2025-10-15 || ENS-8175 ||                 || [ALTERAÇÃO] - [0] - Windows Update SRVIRIS02 II    ||
ENS-8175 || Epic            || 2025-10-15 || ENS-8175 || 0               || [0] - Incidente-2025-10-15_EPIC 2                  ||
ENS-8173 || História        || 2025-10-15 || ENS-8172 ||                 || [ALTERAÇÃO] - [0] - Windows Update SRVIRIS02       ||
ENS-8172 || Epic            || 2025-10-15 || ENS-8172 || 0               || [0] - Incidente-2025-10-15_EPIC 1                  ||
ENS-8170 || História        || 2025-10-15 || ENS-6593 ||                 || [ALTERAÇÃO] - [SCTASK0426427] - Ordens de vendas Z ||
ENS-8169 || Epic            || 2025-10-15 || ENS-8169 || SCTASK0426427   || [REQ0273533] - Ordens de vendas ZWEB ter a  área d ||
ENS-8167 || História        || 2025-10-15 || ENS-7737 ||                 || [ALTERAÇÃO] - [SCTASK0493057] - Alteração IRIS MOB ||
ENS-8165 || História        || 2025-10-15 || ENS-7614 ||                 || [NOVO DESENVOLVIMENTO] - [SCTASK0494199] - Treinam ||
ENS-8163 || História        || 2025-10-15 || ENS-8162 ||                 || [NOVO DESENVOLVIMENTO] - [0] - IAM reativação do e ||
ENS-8162 || Epic            || 2025-10-15 || ENS-8162 || 0               || [0] - IAM reativação do ecossistema                ||
ENS-8160 || História        || 2025-10-15 || ENS-8159 ||                 || [ALTERAÇÃO] - [0] - Atividades Administrativas     ||
ENS-8159 || Epic            || 2025-10-15 || ENS-8159 || 0               || [0] - Atividades Administrativas                   ||
ENS-8157 || História        || 2025-10-15 || ENS-8156 ||                 || [NOVO DESENVOLVIMENTO] - [SCTASK0531985] - Sizing  ||
ENS-8156 || Epic            || 2025-10-15 || ENS-8156 || SCTASK0531985   || [REQ0314387] - Numeração de equipamento (Andrey Pa ||
ENS-8154 || História        || 2025-10-13 || ENS-6863 ||                 || [Alteração] Improper error handling desenvolviment ||
ENS-8153 || Epic            || 2025-10-12 || ENS-8153 || REQ0349359      || [REQ0349359] - Alternativas para ZINTERFACELOTE2   ||
ENS-8133 || História        || 2025-10-01 || ENS-8068 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8131 || História        || 2025-10-01 || ENS-8067 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8129 || História        || 2025-10-01 || ENS-8066 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8127 || História        || 2025-10-01 || ENS-8065 ||                 || [Alteração] Apoio ENC: RITM0500408 - SCTASK0517600 ||
ENS-8125 || História        || 2025-10-01 || ENS-8064 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8123 || História        || 2025-10-01 || ENS-8063 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8121 || História        || 2025-10-01 || ENS-8062 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8117 || História        || 2025-10-01 || ENS-8061 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-8114 || História        || 2025-10-01 || ENS-8080 ||                 || [Alteração] Vault                                  ||
ENS-8113 || História        || 2025-10-01 || ENS-8060 ||                 || [Alteração] Apoio GUS - OV Duplicadas              ||
ENS-8112 || História        || 2025-10-01 || ENS-8079 ||                 || [Alteração] MAX Ticket                             ||
ENS-8111 || História        || 2025-10-01 || ENS-8078 ||                 || [Alteração] MAX Contract Site                      ||
ENS-8109 || História        || 2025-10-01 || ENS-8059 ||                 || [Alteração] Apoio Eox - Pricing                    ||
ENS-8105 || História        || 2025-10-01 || ENS-8077 ||                 || [Alteração] IAM no Portal                          ||
ENS-8104 || História        || 2025-10-01 || ENS-8058 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-8103 || História        || 2025-10-01 || ENS-8076 ||                 || [Alteração] Status IRIS                            ||
ENS-8100 || História        || 2025-10-01 || ENS-8057 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-8097 || História        || 2025-10-01 || ENS-8075 ||                 || [Alteração] Status IRIS                            ||
ENS-8096 || História        || 2025-10-01 || ENS-8074 ||                 || [Alteração] ZK53                                   ||
ENS-8095 || História        || 2025-10-01 || ENS-8055 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-8092 || História        || 2025-10-01 || ENS-8073 ||                 || [Alteração] TKE IRIS - Manutenção Databases        ||
ENS-8091 || História        || 2025-10-01 || ENS-8054 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-8089 || História        || 2025-10-01 || ENS-8072 ||                 || [Alteração] TKE IRIS - Manutenção Databases        ||
ENS-8086 || História        || 2025-10-01 || ENS-8052 ||                 || [Alteração] Alinhamentos IRIS                      ||
ENS-8085 || História        || 2025-10-01 || ENS-8071 ||                 || [Alteração] CAB                                    ||
ENS-8083 || História        || 2025-10-01 || ENS-7766 ||                 || [Alteração]ZK53 – Carga: atual → fim FY            ||
ENS-8081 || História        || 2025-10-01 || ENS-7815 ||                 || [Alteração]Apoio a UAT (User Acceptence Test)      ||
ENS-8080 || Epic            || 2025-10-01 || ENS-8080 || 0               || Incidente-2025-10-01_EPIC X                        ||
ENS-8079 || Epic            || 2025-10-01 || ENS-8079 || 0               || Incidente-2025-10-01_EPIC IX                       ||
ENS-8078 || Epic            || 2025-10-01 || ENS-8078 || 0               || Incidente-2025-10-01_EPIC VIII                     ||
ENS-8077 || Epic            || 2025-10-01 || ENS-8077 || 0               || Incidente-2025-10-01_EPIC VII                      ||
ENS-8076 || Epic            || 2025-10-01 || ENS-8076 || 0               || Incidente-2025-10-01_EPIC VI                       ||
ENS-8075 || Epic            || 2025-10-01 || ENS-8075 || 0               || Incidente-2025-10-01_EPIC V                        ||
ENS-8074 || Epic            || 2025-10-01 || ENS-8074 || 0               || Incidente-2025-10-01_EPIC IV                       ||
ENS-8073 || Epic            || 2025-10-01 || ENS-8073 || 0               || Incidente-2025-10-01_EPIC III                      ||
ENS-8072 || Epic            || 2025-10-01 || ENS-8072 || 0               || Incidente-2025-10-01_EPIC II                       ||
ENS-8071 || Epic            || 2025-10-01 || ENS-8071 || 0               || Incidente-2025-10-01_EPIC I                        ||
ENS-8069 || Epic            || 2025-10-01 || ENS-8069 || SCTASK0504397   || Apoio a UAT (User Acceptence Test)                 ||
ENS-8068 || Epic            || 2025-10-01 || ENS-8068 || 0               || Incidente-2025-10-01_EPIC XV                       ||
ENS-8067 || Epic            || 2025-10-01 || ENS-8067 || 0               || Incidente-2025-10-01_EPIC XIV                      ||
ENS-8066 || Epic            || 2025-10-01 || ENS-8066 || 0               || Incidente-2025-10-01_EPIC XIII                     ||
ENS-8065 || Epic            || 2025-10-01 || ENS-8065 || 0               || Incidente-2025-10-01_EPIC XII                      ||
ENS-8064 || Epic            || 2025-10-01 || ENS-8064 || 0               || Incidente-2025-10-01_EPIC XI                       ||
ENS-8063 || Epic            || 2025-10-01 || ENS-8063 || 0               || Incidente-2025-10-01_EPIC X                        ||
ENS-8062 || Epic            || 2025-10-01 || ENS-8062 || 0               || Incidente-2025-10-01_EPIC IX                       ||
ENS-8061 || Epic            || 2025-10-01 || ENS-8061 || 0               || Incidente-2025-10-01_EPIC VIII                     ||
ENS-8060 || Epic            || 2025-10-01 || ENS-8060 || 0               || Incidente-2025-10-01_EPIC VII                      ||
ENS-8059 || Epic            || 2025-10-01 || ENS-8059 || 0               || Incidente-2025-10-01_EPIC VI                       ||
ENS-8058 || Epic            || 2025-10-01 || ENS-8058 || 0               || Incidente-2025-10-01_EPIC V                        ||
ENS-8057 || Epic            || 2025-10-01 || ENS-8057 || 0               || Incidente-2025-10-01_EPIC IV                       ||
ENS-8055 || Epic            || 2025-10-01 || ENS-8055 || 0               || Incidente-2025-10-01_EPIC III                      ||
